央视频道,#genre#
CCTV1,http://221.232.102.239:8288/rtp/239.254.96.96:8550$湖北电信
CCTV1,http://171.8.169.198:8800/rtp/239.16.20.1:10010$河南电信
CCTV2,http://221.232.102.239:8288/rtp/239.69.1.102:10250$湖北电信
CCTV2,http://171.8.169.198:8800/rtp/239.16.20.2:10020$河南电信
CCTV3,http://221.232.102.239:8288/rtp/239.69.1.122:10370$湖北电信
CCTV3,http://171.8.169.198:8800/rtp/239.16.20.3:10030$河南电信
CCTV4,http://221.232.102.239:8288/rtp/239.69.1.138:10466$湖北电信
CCTV4,http://171.8.169.198:8800/rtp/239.16.20.4:10040$河南电信
CCTV4欧洲,http://221.232.102.239:8288/rtp/239.69.1.231:11028$湖北电信
CCTV4美洲,http://221.232.102.239:8288/rtp/239.69.1.232:11034$湖北电信
CCTV5,http://221.232.102.239:8288/rtp/239.69.1.123:10376$湖北电信
CCTV5,http://171.8.169.198:8800/rtp/239.16.20.53:10530$河南电信
CCTV5+,http://221.232.102.239:8288/rtp/239.254.96.234:9484$湖北电信
CCTV5+,http://171.8.169.198:8800/rtp/239.16.20.5:10050$河南电信
CCTV6,http://221.232.102.239:8288/rtp/239.69.1.124:10382$湖北电信
CCTV6,http://171.8.169.198:8800/rtp/239.16.20.6:10060$河南电信
CCTV7,http://221.232.102.239:8288/rtp/239.69.1.103:10256$湖北电信
CCTV7,http://171.8.169.198:8800/rtp/239.16.20.51:10510$河南电信
CCTV8,http://221.232.102.239:8288/rtp/239.69.1.125:10388$湖北电信
CCTV8,http://171.8.169.198:8800/rtp/239.16.20.8:10080$河南电信
CCTV9,http://221.232.102.239:8288/rtp/239.69.1.104:10262$湖北电信
CCTV9,http://171.8.169.198:8800/rtp/239.16.20.9:10090$河南电信
CCTV10,http://221.232.102.239:8288/rtp/239.69.1.105:10268$湖北电信
CCTV10,http://171.8.169.198:8800/rtp/239.16.20.10:10100$河南电信
CCTV11,http://221.232.102.239:8288/rtp/239.69.1.154:10560$湖北电信
CCTV11,http://171.8.169.198:8800/rtp/239.16.20.11:10110$河南电信
CCTV12,http://221.232.102.239:8288/rtp/239.69.1.106:10274$湖北电信
CCTV12,http://171.8.169.198:8800/rtp/239.16.20.12:10120$河南电信
