央视频道,#genre#
CCTV-1综合,http://122.241.215.181:4022/rtp/233.50.201.118:5140$浙江电信
CCTV-2财经,http://122.241.215.181:4022/rtp/233.50.201.119:5140$浙江电信
CCTV-3综艺,http://122.241.215.181:4022/rtp/233.50.201.196:5140$浙江电信
CCTV-4中文国际,http://122.241.215.181:4022/rtp/233.50.200.101:5140$浙江电信
CCTV-5体育,http://122.241.215.181:4022/rtp/233.50.200.108:5140$浙江电信
CCTV-5体育,http://122.241.215.181:4022/rtp/233.50.201.194:5140$浙江电信
CCTV-5+体育赛事,http://122.241.215.181:4022/rtp/233.50.201.220:5140$浙江电信
CCTV-6电影,http://122.241.215.181:4022/rtp/233.50.200.109:5140$浙江电信
CCTV-7国防军事,http://122.241.215.181:4022/rtp/233.50.200.102:5140$浙江电信
CCTV-8电视剧,http://122.241.215.181:4022/rtp/233.50.201.116:5140$浙江电信
CCTV-9纪录,http://122.241.215.181:4022/rtp/233.50.200.23:5140$浙江电信
CCTV-10科教,http://122.241.215.181:4022/rtp/233.50.200.22:5140$浙江电信
CCTV-11戏曲,http://122.241.215.181:4022/rtp/233.50.200.132:5140$浙江电信
CCTV-12社会与法,http://122.241.215.181:4022/rtp/233.50.200.21:5140$浙江电信
CCTV-13新闻,http://122.241.215.181:4022/rtp/233.50.200.97:5140$浙江电信
CCTV-14少儿,http://122.241.215.181:4022/rtp/233.50.200.103:5140$浙江电信
CCTV-15音乐,http://122.241.215.181:4022/rtp/233.50.200.133:5140$浙江电信
CCTV-16奥林匹克,http://122.241.215.181:4022/rtp/233.50.201.63:5140$浙江电信
CCTV-17农业农村,http://122.241.215.181:4022/rtp/233.50.200.113:5140$浙江电信
CCTV-4K,http://122.241.215.181:4022/rtp/233.50.201.226:5140$浙江电信
兵器科技,http://114.107.3.153:2000/rtp/238.1.79.56:4584$安徽电信
风云音乐,http://114.107.3.153:2000/rtp/238.1.79.64:4648$安徽电信
风云足球,http://114.107.3.153:2000/rtp/238.1.79.57:4592$安徽电信
风云剧场,http://114.107.3.153:2000/rtp/238.1.79.62:4632$安徽电信
怀旧剧场,http://114.107.3.153:2000/rtp/238.1.79.61:4624$安徽电信
第一剧场,http://114.107.3.153:2000/rtp/238.1.79.63:4640$安徽电信
女性时尚,http://114.107.3.153:2000/rtp/238.1.79.55:4576$安徽电信
世界地理,http://114.107.3.153:2000/rtp/238.1.79.60:4616$安徽电信
央视台球,http://114.107.3.153:2000/rtp/238.1.79.59:4608$安徽电信
央视文化精品,http://114.107.3.153:2000/rtp/238.1.79.54:4568$安徽电信
电视指南,http://114.107.3.153:2000/rtp/238.1.79.53:4560$安徽电信

卫视频道,#genre#
湖南卫视,http://122.241.215.181:4022/rtp/233.50.201.103:5140$浙江电信
湖南卫视,http://122.241.215.181:4022/rtp/233.50.200.190:5140$浙江电信
湖南卫视,http://122.241.215.181:4022/rtp/233.50.202.106:5140$浙江电信
浙江卫视,http://122.241.215.181:4022/rtp/233.50.200.231:5140$浙江电信
浙江卫视,http://122.241.215.181:4022/rtp/233.50.201.100:5140$浙江电信
浙江卫视,http://122.241.215.181:4022/rtp/233.50.200.145:5140$浙江电信
浙江卫视,http://122.241.215.181:4022/rtp/233.50.202.104:5140$浙江电信
江苏卫视,http://122.241.215.181:4022/rtp/233.50.201.106:5140$浙江电信
江苏卫视,http://122.241.215.181:4022/rtp/233.50.200.144:5140$浙江电信
东方卫视,http://122.241.215.181:4022/rtp/233.50.201.125:5140$浙江电信
东方卫视,http://122.241.215.181:4022/rtp/233.50.200.146:5140$浙江电信
东方卫视,http://122.241.215.181:4022/rtp/233.50.202.105:5140$浙江电信
深圳卫视,http://122.241.215.181:4022/rtp/233.50.201.101:5140$浙江电信
深圳卫视,http://122.241.215.181:4022/rtp/233.50.200.188:5140$浙江电信
深圳卫视,http://122.241.215.181:4022/rtp/233.50.202.102:5140$浙江电信
北京卫视,http://122.241.215.181:4022/rtp/233.50.201.107:5140$浙江电信
北京卫视,http://122.241.215.181:4022/rtp/233.50.200.179:5140$浙江电信
北京卫视,http://122.241.215.181:4022/rtp/233.50.202.100:5140$浙江电信
广东卫视,http://122.241.215.181:4022/rtp/233.50.200.187:5140$浙江电信
广东卫视,http://122.241.215.181:4022/rtp/233.50.200.126:5140$浙江电信
广东卫视,http://122.241.215.181:4022/rtp/233.50.200.149:5140$浙江电信
广东卫视,http://122.241.215.181:4022/rtp/233.50.201.102:5140$浙江电信
广东卫视,http://122.241.215.181:4022/rtp/233.50.202.101:5140$浙江电信
